pulled_at,ticker,added_date,status,note,seat,readings_json
2026-09-04,BFLY,2026-08-31T15:00:00.000Z,vetoed,,manual,"{""close"": 8.18, ""change_pct"": 0.0368, ""rel_volume"": 1.0853715657929461, ""rs_1m"": 29, ""rs_3m"": 98, ""h_score"": 83, ""rs_line_pctl_21"": 9.523809523809524, ""rs_line_pctl_63"": 55.55555555555556, ""atr_from_sma50"": 0.1042, ""high_52w_dist"": -0.1861, ""vcs"": 57.2, ""trend_base"": true, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,BFLY,2026-09-02T15:00:00.000Z,vetoed,,manual,"{""close"": 7.29, ""change_pct"": -0.0408, ""rel_volume"": 0.774783758590041, ""rs_1m"": 10, ""rs_3m"": 96, ""h_score"": 77, ""rs_line_pctl_21"": 4.761904761904762, ""rs_line_pctl_63"": 26.984126984126984, ""atr_from_sma50"": -1.1202, ""high_52w_dist"": -0.2746, ""vcs"": 43.8, ""trend_base"": false, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,DBA,2026-08-27T15:00:00.000Z,starred,,asset,"{""close"": 29.19, ""change_pct"": 0.0128, ""rel_volume"": 3.24, ""rs_1m"": null, ""rs_3m"": null, ""h_score"": null, ""rs_line_pctl_21"": 100, ""rs_line_pctl_63"": 96.8, ""atr_from_sma50"": 5.24, ""high_52w_dist"": 0, ""vcs"": null, ""trend_base"": null, ""sector"": null, ""sp_signal"": null}"
2026-09-04,GLD,2026-08-19T15:00:00.000Z,starred,,asset,"{""close"": 415.26, ""change_pct"": 0.0034, ""rel_volume"": 1.67, ""rs_1m"": null, ""rs_3m"": null, ""h_score"": null, ""rs_line_pctl_21"": 100, ""rs_line_pctl_63"": 88.9, ""atr_from_sma50"": 4.45, ""high_52w_dist"": -0.1626, ""vcs"": null, ""trend_base"": null, ""sector"": null, ""sp_signal"": null}"
2026-09-04,ICUI,2026-08-19T15:00:00.000Z,vetoed,,coiling,"{""close"": 182.53, ""change_pct"": -0.0253, ""rel_volume"": 0.7312593030651785, ""rs_1m"": 83, ""rs_3m"": 92, ""h_score"": 77, ""rs_line_pctl_21"": 90.47619047619048, ""rs_line_pctl_63"": 96.82539682539682, ""atr_from_sma50"": 4.2971, ""high_52w_dist"": -0.0535, ""vcs"": 37.9, ""trend_base"": true, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,ILMN,2026-08-25T15:00:00.000Z,starred,,burning,"{""close"": 224.84, ""change_pct"": -0.0007000000000000001, ""rel_volume"": 0.8127257801793397, ""rs_1m"": 81, ""rs_3m"": 92, ""h_score"": 81, ""rs_line_pctl_21"": 95.23809523809523, ""rs_line_pctl_63"": 98.4126984126984, ""atr_from_sma50"": 4.3969, ""high_52w_dist"": -0.0124, ""vcs"": 13.4, ""trend_base"": true, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,ILMN,2026-08-31T15:00:00.000Z,vetoed,,manual,"{""close"": 207.13, ""change_pct"": -0.0304, ""rel_volume"": 0.8086797181682757, ""rs_1m"": 67, ""rs_3m"": 79, ""h_score"": 77, ""rs_line_pctl_21"": 61.904761904761905, ""rs_line_pctl_63"": 84.12698412698413, ""atr_from_sma50"": 1.3911, ""high_52w_dist"": -0.1065, ""vcs"": 14.7, ""trend_base"": true, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,ILMN,2026-09-02T15:00:00.000Z,vetoed,,manual,"{""close"": 221.66, ""change_pct"": 0.0394, ""rel_volume"": 1.015247656028033, ""rs_1m"": 88, ""rs_3m"": 89, ""h_score"": 81, ""rs_line_pctl_21"": 80.95238095238095, ""rs_line_pctl_63"": 93.65079365079364, ""atr_from_sma50"": 3.0473, ""high_52w_dist"": -0.0438, ""vcs"": 21.1, ""trend_base"": true, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,MRNA,2026-08-19T15:00:00.000Z,vetoed,,manual,"{""close"": 133.32, ""change_pct"": -0.23550000000000001, ""rel_volume"": 4.921927691431128, ""rs_1m"": 99, ""rs_3m"": 99, ""h_score"": 81, ""rs_line_pctl_21"": 95.23809523809523, ""rs_line_pctl_63"": 98.4126984126984, ""atr_from_sma50"": 4.8532, ""high_52w_dist"": -0.2453, ""vcs"": 10.3, ""trend_base"": true, ""sector"": ""Healthcare""}"
2026-09-04,NAT,2026-08-31T15:00:00.000Z,vetoed,,v_reversal,"{""close"": 6.91, ""change_pct"": 0.011699999999999999, ""rel_volume"": 1.5331259235169794, ""rs_1m"": 85, ""rs_3m"": 92, ""h_score"": 79, ""rs_line_pctl_21"": 80.95238095238095, ""rs_line_pctl_63"": 93.65079365079364, ""atr_from_sma50"": 2.1428, ""high_52w_dist"": -0.0403, ""vcs"": 46, ""trend_base"": true, ""sector"": ""Energy"", ""sp_signal"": null}"
2026-09-04,NAVN,2026-08-19T15:00:00.000Z,vetoed,,new_leader,"{""close"": 28.56, ""change_pct"": -0.0212, ""rel_volume"": 0.6317761120695708, ""rs_1m"": 88, ""rs_3m"": 93, ""h_score"": 90, ""rs_line_pctl_21"": 71.42857142857143, ""rs_line_pctl_63"": 90.47619047619048, ""atr_from_sma50"": 2.5055, ""high_52w_dist"": -0.0477, ""vcs"": 70.5, ""trend_base"": true, ""sector"": ""Technology"", ""sp_signal"": null}"
2026-09-04,NFG,2026-08-24T15:00:00.000Z,noted,"atr太小只有1.82%，adr也只有1.9%。
 需要至少adr3.5以上。",coiling,"{""close"": 82.14, ""change_pct"": -0.0039000000000000003, ""rel_volume"": 0.5755400782866316, ""rs_1m"": 48, ""rs_3m"": 47, ""h_score"": 35, ""rs_line_pctl_21"": 52.38095238095239, ""rs_line_pctl_63"": 69.84126984126983, ""atr_from_sma50"": 1.3501, ""high_52w_dist"": -0.1446, ""vcs"": 46.5, ""trend_base"": false, ""sector"": ""Energy"", ""sp_signal"": null}"
2026-09-04,NFG,2026-08-27T15:00:00.000Z,vetoed,,manual,"{""close"": 82.97, ""change_pct"": 0.0012, ""rel_volume"": 0.7763041194235167, ""rs_1m"": 48, ""rs_3m"": 57, ""h_score"": 37, ""rs_line_pctl_21"": 66.66666666666666, ""rs_line_pctl_63"": 69.84126984126983, ""atr_from_sma50"": 1.6702, ""high_52w_dist"": -0.136, ""vcs"": 57.7, ""trend_base"": false, ""sector"": ""Energy"", ""sp_signal"": null}"
2026-09-04,NFG,2026-09-02T15:00:00.000Z,vetoed,,manual,"{""close"": 83.53, ""change_pct"": 0.0038, ""rel_volume"": 1.2649924226022948, ""rs_1m"": 67, ""rs_3m"": 55, ""h_score"": 39, ""rs_line_pctl_21"": 66.66666666666666, ""rs_line_pctl_63"": 68.25396825396825, ""atr_from_sma50"": 1.7164, ""high_52w_dist"": -0.1301, ""vcs"": 59.2, ""trend_base"": false, ""sector"": ""Energy"", ""sp_signal"": null}"
2026-09-04,PSNL,2026-08-27T15:00:00.000Z,vetoed,,new_leader,"{""close"": 17.07, ""change_pct"": 0.0161, ""rel_volume"": 0.7981852105397388, ""rs_1m"": 95, ""rs_3m"": 96, ""h_score"": 92, ""rs_line_pctl_21"": 80.95238095238095, ""rs_line_pctl_63"": 93.65079365079364, ""atr_from_sma50"": 4.0491, ""high_52w_dist"": -0.0963, ""vcs"": 21.2, ""trend_base"": true, ""sector"": ""Healthcare"", ""sp_signal"": null}"
2026-09-04,SOLS,2026-08-27T15:00:00.000Z,vetoed,,entry,"{""close"": 63.53, ""change_pct"": 0.1276, ""rel_volume"": 5.8122506031410985, ""rs_1m"": 67, ""rs_3m"": 8, ""h_score"": 35, ""rs_line_pctl_21"": 100, ""rs_line_pctl_63"": 57.14285714285714, ""atr_from_sma50"": -0.4795, ""high_52w_dist"": -0.2988, ""vcs"": 82.5, ""trend_base"": false, ""sector"": ""Basic Materials"", ""sp_signal"": ""counter_break""}"
2026-09-04,TENB,2026-08-27T15:00:00.000Z,starred,,v_reversal,"{""close"": 37.67, ""change_pct"": 0.0013, ""rel_volume"": 6.263210283050005, ""rs_1m"": 85, ""rs_3m"": 88, ""h_score"": 76, ""rs_line_pctl_21"": 85.71428571428571, ""rs_line_pctl_63"": 73.01587301587301, ""atr_from_sma50"": 1.0906, ""high_52w_dist"": -0.1374, ""vcs"": 41.5, ""trend_base"": true, ""sector"": ""Technology"", ""sp_signal"": null}"
2026-09-04,USO,2026-08-31T15:00:00.000Z,starred,,asset,"{""close"": 141, ""change_pct"": 0.0546, ""rel_volume"": 1.38, ""rs_1m"": null, ""rs_3m"": null, ""h_score"": null, ""rs_line_pctl_21"": 100, ""rs_line_pctl_63"": 95.2, ""atr_from_sma50"": 4.3, ""high_52w_dist"": -0.0782, ""vcs"": null, ""trend_base"": null, ""sector"": null, ""sp_signal"": null}"
2026-09-04,USO,2026-09-02T15:00:00.000Z,vetoed,,manual,"{""close"": 142.09, ""change_pct"": 0.0067, ""rel_volume"": 0.69, ""rs_1m"": null, ""rs_3m"": null, ""h_score"": null, ""rs_line_pctl_21"": 90.5, ""rs_line_pctl_63"": 92.1, ""atr_from_sma50"": 4.44, ""high_52w_dist"": -0.0711, ""vcs"": null, ""trend_base"": null, ""sector"": null, ""sp_signal"": null}"
