date,avg_volume,change_pct,close,excess_1m,excess_3m,ext_median,ext_n,ext_share_4,ext_share_7,group,industry,kind,market_cap,measurable,members,method,needs_manual,perf_1d,perf_1m,perf_1w,perf_1y,perf_3m,perf_6m,persistence,persistence_of,publish,ribbon,ribbon_source,rs_0_1w,rs_1m_3m,rs_1w_1m,rs_3m_6m,rs_accel,rs_accel_rate,sector,source,state,tickers,validation,validation_excess,volume
2026-08-14,1.0,1.0,1.0,0.0,0.0,0.210526,0.210526,0.210526,0.210526,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223684,0.0,0.0,0.0,0.0,0.0,0.789474,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.210526,0.223684,1.0
2026-08-17,1.0,1.0,1.0,0.0,0.0,0.210526,0.210526,0.210526,0.210526,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223684,0.0,0.210526,0.0,0.0,0.0,0.789474,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.210526,0.223684,1.0
2026-08-18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.035714,1.0
2026-08-19,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.035714,1.0
2026-08-20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.035714,1.0
2026-08-21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.035714,1.0
