date,abc,atr_pct,avg_volume,change_pct,close,dist_sma50_atr,high_52w_dist,industry,intraday_pct,long_etfs,market_cap,perf_1m,perf_1w,perf_1y,perf_3m,perf_6m,rrs_1m,rrs_1w,rrs_3m,rrs_rank,sector,short_etfs,sparkline,volume
2026-08-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-08-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-09-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-09-02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-09-03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
2026-09-04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.007194,0.007194,0.007194,0.007194,1.0,0.0,0.0,1.0
