ticker,d,range5_pct,rmv,volrank,fwd20,mae20,tf
AA,2026-02-24,8.801501654513315,15.473912319417071,91.6030534351145,-7.5511651942306806,-8.529805214851105,输
AA,2026-02-26,12.620133428018573,16.311573289283608,92.4812030075188,-9.099833359643695,-11.49858331833552,输
AA,2026-02-27,12.902702739061272,0.0,92.53731343283582,-5.75763986407588,-9.517004876183721,输
AA,2026-03-04,17.140535290603836,100.0,100.0,17.267299015293958,-8.737856577629755,赢
AA,2026-03-05,17.472670396217964,53.73413576117583,100.0,18.660393977863123,-6.969454300206335,赢
AA,2026-03-09,19.24460944308361,62.47089255401073,100.0,19.489027732627974,-8.155901087054318,赢
AA,2026-03-10,19.16613396421632,0.0,97.16312056737588,17.04452219790935,-8.530422049126551,赢
AA,2026-03-13,18.07296275614775,47.770189580430845,97.22222222222221,15.285419444340942,-11.810032334852561,输
AA,2026-03-18,8.064774637007053,9.601247292409731,92.51700680272108,9.62167947069885,-12.688770469604094,输
AA,2026-03-30,17.303063567696253,63.32104813827112,91.61290322580645,-0.0790894246400331,-0.0790894246400331,赢
AA,2026-04-15,7.85735276823703,3.0111646709845385,57.22891566265061,-2.7564467488930045,-11.25318460545487,输
AA,2026-04-16,7.7119697306293284,39.03345890236732,55.688622754491014,-6.23493057830804,-11.291014136399324,输
AA,2026-04-17,17.43371842344783,79.8256969771667,82.73809523809523,-4.7089336288095645,-4.815606801460481,平
AA,2026-04-20,16.30843098552192,17.753830175975605,76.33136094674556,-5.922135239098103,-6.117539422919238,平
AA,2026-04-21,13.983619350229981,5.489664099582048,66.47058823529412,-4.6428824308301415,-6.9843654846875385,平
AA,2026-04-22,13.702029798318968,22.388610001017934,57.30994152046783,-6.256176232255051,-8.857430689616375,输
AA,2026-04-23,9.706288080493099,19.054711858232785,68.02325581395348,1.5389932839606546,-4.451588261729822,平
AA,2026-04-24,7.120121754306082,0.0,57.80346820809249,8.308162758978742,-5.377979655301646,平
AA,2026-04-27,6.977423615644092,9.624148401039879,48.85057471264368,10.880829604478649,-7.274349780076472,输
AA,2026-05-11,6.014696290877857,86.87225911497545,29.891304347826086,10.99766815092571,-4.3005800328099415,赢
AA,2026-05-12,9.035785022167058,100.0,34.5945945945946,-2.906092978444119,-7.527359405891598,输
AA,2026-05-13,10.52017177310265,44.76982305201527,30.64516129032258,0.9502970671187327,-8.635306915658091,输
AA,2026-05-14,10.648296718642346,30.184609926317982,38.50267379679144,4.332112965919599,-5.286262151342025,赢
AA,2026-05-21,8.405010651872722,30.034335699940634,38.02083333333333,-11.951102953093073,-11.951102953093073,赢
AA,2026-06-05,18.110999483708458,83.21080845079273,70.29702970297029,-31.82639934116751,-33.95464837899669,输
AA,2026-06-08,17.728753132469947,2.907440108799138,66.50246305418719,-33.9460819519856,-35.348585510743725,输
AA,2026-06-09,18.743267134049944,82.58401493689986,75.0,-32.71647491417562,-34.428945728500935,输
AAL,2026-07-07,10.232559016358175,55.12806091757836,51.35135135135135,-3.7209376081893564,-21.162791755020148,输
AAL,2026-07-08,16.22276168834063,64.10235092163758,69.95515695067265,0.3631928830497344,-17.917675279215285,输
