date,class,title,subtitle,audience,likes,comments,url
2025-11-19,G · 周末宏观大稿,Setups And Short Opportunities ,Before We Start Lets Admire ONDS,only_paid,11,0,https://thesetupfactory.substack.com/p/setups-and-short-opportunities
2025-11-18,G · 周末宏观大稿,Meltdown Or Powerful Bounce Incoming?,Last Tuesday I Explained The Setup For Heavy Selling That Was Developing,only_paid,10,1,https://thesetupfactory.substack.com/p/meltdown-or-powerful-bounce-incoming
2025-11-16,B · TSF Focus Stocks,TSF - Focus Stocks 16/11,"Levels, Entries And Stop Losses Annotated In the Charts",only_paid,4,0,https://thesetupfactory.substack.com/p/tsf-focus-stocks-1611
2025-11-16,C · Focus Stocks 预告帖,Grab Your Popcorn,The TSF - Focus Stocks Will Be Sent Out Tonight,only_paid,13,4,https://thesetupfactory.substack.com/p/grab-your-popcorn
2025-11-13,G · 周末宏观大稿,Perfect Storm,Don’t Ruin Your Year,everyone,17,3,https://thesetupfactory.substack.com/p/perfect-storm
2025-11-11,G · 周末宏观大稿,Welcome To No-Mans-Land,Before We Start Lets Admire GCT,only_paid,8,0,https://thesetupfactory.substack.com/p/welcome-to-no-mans-land
2025-11-09,B · TSF Focus Stocks,TSF - Focus Stocks 9/11,,only_paid,5,2,https://thesetupfactory.substack.com/p/tsf-focus-stocks-911
2025-11-09,C · Focus Stocks 预告帖,Is This A Low You Can Trust?,The TSF - Focus Stocks Will Be Updated Tonight,everyone,20,4,https://thesetupfactory.substack.com/p/is-this-a-low-you-can-trust
2025-11-06,G · 周末宏观大稿,RS - Leaders,Before We Start Lets Admire LRCX,only_paid,11,0,https://thesetupfactory.substack.com/p/rs-leaders
2025-11-05,D · Community Meeting,TSF - Community Meeting,Last Week I Told You,only_paid,16,0,https://thesetupfactory.substack.com/p/tsf-community-meeting-6dd
2025-11-04,E · TSF 教学/模型,TSF Earnings Gaps Special - Put These Stocks On Your Watchlist Immediately,Gapping Down,only_paid,10,0,https://thesetupfactory.substack.com/p/tsf-earnings-gaps-special-put-these
2025-11-02,B · TSF Focus Stocks,TSF Focus Stocks — 2/11-2025,Surprising Number Of Extremely Bullish Setups This Week — 10 Gems,only_paid,5,2,https://thesetupfactory.substack.com/p/tsf-focus-stocks-211-2025
2025-11-02,C · Focus Stocks 预告帖,On The Cusp,The TSF - Focus Stocks Will Be Updated Tonight,only_paid,17,0,https://thesetupfactory.substack.com/p/on-the-cusp
2025-10-30,G · 周末宏观大稿,Greedy Complacency At It's Finest,Powell Tried To Ruin The Fun Yesterday,only_paid,12,0,https://thesetupfactory.substack.com/p/greedy-complacency-at-its-finest
2025-10-28,G · 周末宏观大稿,Locking Out Those That Weren't Paying Attention,Before We Start Lets Admire SNDK,only_paid,14,0,https://thesetupfactory.substack.com/p/locking-out-those-that-werent-paying
2025-10-26,B · TSF Focus Stocks,TSF Focus Stocks — 26/10-2025,,only_paid,11,2,https://thesetupfactory.substack.com/p/tsf-focus-stocks-updated-2610-2025
