date,close,sma21,cycle
2009-06-29,31.519330978393555,31.297543571108864,1
2009-06-30,31.458805084228516,31.298972447713215,2
2009-07-01,31.476106643676758,31.29916899544852,3
2009-07-02,30.784313201904297,31.270946775163925,-1
2009-07-06,30.620027542114258,31.218039285568963,-2
2009-07-07,29.859045028686523,31.127249581473215,-3
2009-07-08,30.014698028564453,31.048396337599982,-4
2009-07-09,30.066587448120117,30.960498718988326,-5
2009-07-10,30.196292877197266,30.88412348429362,-6
2009-07-13,30.775667190551758,30.835337502615793,-7
2009-07-14,30.88808822631836,30.79889642624628,1
2009-07-15,31.925752639770508,30.842713492257253,2
2009-07-16,32.306243896484375,30.919043586367653,3
2009-07-17,32.47916793823242,30.989625295003254,4
2009-07-20,32.79047775268555,31.07791028703962,5
2009-07-21,33.015316009521484,31.161088580176944,6
2009-07-22,33.292030334472656,31.301916304088774,7
2009-07-23,34.02705001831055,31.481038593110583,8
2009-07-24,33.76761245727539,31.62351217724028,9
2009-07-27,34.02705001831055,31.749515351795015,10
2009-07-28,33.7935791015625,31.861106781732467,11
2009-07-29,34.01841354370117,31.980110713413783,12
2009-07-30,34.2172737121582,32.11146636236282,13
2009-07-31,34.113525390625,32.23705773126511,14
2009-08-03,34.623722076416016,32.41988672528948,15
2009-08-04,34.623722076416016,32.61053884597052,16
2009-08-05,34.35565185546875,32.82466298057919,17
2009-08-06,34.0529899597168,33.01696259634836,18
2009-08-07,34.485355377197266,33.2273801167806,19
2009-08-10,34.24324035644531,33.420091901506694,20
2009-08-11,33.94921875,33.57121340433756,21
2009-08-12,34.47670364379883,33.74209985278902,22
2009-08-13,34.666954040527344,33.872633252825054,23
2009-08-14,34.269168853759766,33.96610586983817,24
2009-08-17,33.27473068237305,34.00398981003534,-1
2009-08-18,33.75032043457031,34.049696604410805,-2
2009-08-19,33.98379135131836,34.095814477829705,-3
2009-08-20,34.38157653808594,34.14769763038272,1
2009-08-21,34.83989715576172,34.18640463692801,2
2009-08-24,34.80530548095703,34.235818590436665,3
2009-08-25,34.909053802490234,34.2778187706357,4
2009-08-26,34.84852600097656,34.32805433727446,5
2009-08-27,34.935028076171875,34.371702648344495,6
2009-08-28,34.96959686279297,34.40752756027948,7
2009-08-31,34.615055084228516,34.43140992664156,8
2009-09-01,33.966529846191406,34.40011505853562,-1
2009-09-02,33.94056701660156,34.367583865211124,-2
2009-09-03,34.1653938293457,34.358523959205264,-3
2009-09-04,34.90041732788086,34.39887764340355,1
2009-09-08,35.2290153503418,34.434290023077104,2
2009-09-09,35.531646728515625,34.4956427074614,3
2009-09-10,35.868919372558594,34.587057022821334,4
2009-09-11,35.90350341796875,34.65499986921038,5
2009-09-14,36.04185485839844,34.72047133672805,6
2009-09-15,36.154266357421875,34.810237884521484,7
2009-09-16,36.68174743652344,34.97247677757626,8
2009-09-17,36.67311096191406,35.11165727887835,9
2009-09-18,36.73456573486328,35.24264653523763,10
2009-09-21,36.84709548950195,35.360052199590776,11
2009-09-22,36.916343688964844,35.45893060593378,12
2009-09-23,36.74323272705078,35.55121285574777,13
2009-09-24,36.414310455322266,35.62289174397787,14
2009-09-25,36.09404754638672,35.6822022937593,15
2009-09-28,36.708614349365234,35.766658782958984,16
2009-09-29,36.54414367675781,35.8416372026716,17
2009-09-30,36.57011413574219,35.93473525274368,18
2009-10-01,35.48815155029297,36.007193429129465,-1
2009-10-02,35.38428497314453,36.07594190325056,-2
2009-10-05,35.66990661621094,36.14758536929176,-3
2009-10-06,36.301780700683594,36.21431695847284,1
2009-10-07,36.40564727783203,36.27034705025809,2
2009-10-08,36.56145095825195,36.3193853469122,3
2009-10-09,36.76919937133789,36.36225582304455,4
2009-10-12,36.84709548950195,36.407188778831845,5
2009-10-13,36.855743408203125,36.44594537644159,6
2009-10-14,37.357765197753906,36.503254845028835,7
2009-10-15,37.27123260498047,36.53132556733631,8
2009-10-16,37.02886199951172,36.548266092936196,9
2009-10-19,37.40105056762695,36.580003465924946,10
2009-10-20,37.409725189208984,36.60679535638718,11
2009-10-21,37.340476989746094,36.62699218023391,12
2009-10-22,37.48759460449219,36.6624379839216,13
2009-10-23,37.33180236816406,36.7061280750093,14
2009-10-26,37.21063232421875,36.75929877871559,15
2009-10-27,36.64801025390625,36.75641286940802,-1
2009-10-28,35.825714111328125,36.72220193772089,-2
2009-10-29,36.43162155151367,36.715607052757626,-3
2009-10-30,35.453529357910156,36.713958376929874,-4
2009-11-02,35.60067367553711,36.72426260085333,-5
2009-11-03,35.71320724487305,36.72632453555153,-6
2009-11-04,35.7737922668457,36.70118222917829,-7
2009-11-05,36.65665817260742,36.7131351289295,-8
2009-11-06,36.8730583190918,36.72797357468378,1
2009-11-09,37.66072082519531,36.77042697724842,2
2009-11-10,37.755943298339844,36.81370544433594,3
2009-11-11,37.99827575683594,36.868111746651785,4
2009-11-12,37.78191375732422,36.88830929710751,5
2009-11-13,38.09349822998047,36.9274648030599,6
2009-11-16,38.48300552368164,36.99670973278227,7
2009-11-17,38.60420227050781,37.05400267101469,8
2009-11-18,38.38779830932617,37.10057758149647,9
2009-11-19,37.79056167602539,37.122010185605006,10
2009-11-20,37.60013198852539,37.12736910865421,11
2009-11-23,38.20602035522461,37.168998536609465,12
2009-11-24,38.076202392578125,37.210216158912296,13
2009-11-25,38.240657806396484,37.28605651855469,14
2009-11-27,37.66072082519531,37.3734377906436,15
2009-11-30,37.70399856567383,37.43402717227028,16
2009-12-01,38.09349822998047,37.55973997570219,17
2009-12-02,38.14544677734375,37.6809196472168,18
2009-12-03,37.98964309692383,37.78932135445731,19
2009-12-04,38.18873596191406,37.90431867327009,20
2009-12-07,38.00695037841797,37.96861830211821,21
2009-12-08,37.773250579833984,38.01148460024879,-1
2009-12-09,38.154083251953125,38.03497804914202,1
2009-12-10,38.34452819824219,38.06300590151832,2
2009-12-11,38.19738006591797,38.07248705909366,3
2009-12-14,38.56089782714844,38.1095815386091,4
2009-12-15,38.34452819824219,38.121535346621556,5
2009-12-16,38.396453857421875,38.11741383870443,6
2009-12-17,37.92904281616211,38.08526338849749,-1
2009-12-18,38.54722213745117,38.09285499936058,1
2009-12-21,38.98072814941406,38.14952959333147,2
2009-12-22,39.214813232421875,38.226419176374165,3
2009-12-23,39.50095748901367,38.28808284941174,4
2009-12-24,39.865074157714844,38.37326721918015,5
2009-12-28,40.073150634765625,38.46052878243582,6
2009-12-29,39.90842819213867,38.567562466575986,7
2009-12-30,40.029808044433594,38.67831529889788,8
2009-12-31,39.6656608581543,38.753180185953774,9
2010-01-04,40.246551513671875,38.85323279244559,10
2010-01-05,40.246551513671875,38.96070462181454,11
2010-01-06,40.003787994384766,39.04713567097982,12
