1981028021155905725|2025-10-22|00|8 replies; 27 reposts; 177 likes; 118 bookmarks; 9237 views|2025-Q3
1981042415227007275|2025-10-22|01|8 replies; 13 reposts; 95 likes; 34 bookmarks; 22343 views|2025-Q3
1977011308265718191|2025-10-11|00|10 replies; 47 reposts; 373 likes; 447 bookmarks; 36598 views|2025-Q3
1981103271151620292|2025-10-22|00|5 replies; 12 reposts; 155 likes; 91 bookmarks; 77526 views|2025-Q3
1978109791076843619|2025-10-14|01|2 replies; 1 repost; 20 likes; 11 bookmarks; 5485 views|2025-Q3
2001324949886161172|2025-12-17|00|11 replies; 13 reposts; 156 likes; 105 bookmarks; 16407 views|2025-Q4
2014127995313610782|2026-01-22|00|17 replies; 13 reposts; 256 likes; 82 bookmarks; 16167 views|2025-Q4
1997742933102010683|2025-12-07|01|14 replies; 21 reposts; 244 likes; 46 bookmarks; 55284 views|2025-Q4
2009384914207301837|2026-01-08|01|19 replies; 23 reposts; 227 likes; 115 bookmarks; 55386 views|2025-Q4
1985007947391336726|2025-11-02|01|14 replies; 47 reposts; 492 likes; 526 bookmarks; 57179 views|2025-Q4
1995262395300655191|2025-11-30|01|6 replies; 29 reposts; 287 likes; 219 bookmarks; 30740 views|2025-Q4
2045622742930567214|2026-04-18|00|93 replies; 85 reposts; 1382 likes; 127 bookmarks; 49851 views|2026-Q1
2019876019948122622|2026-02-06|00|62 replies; 213 reposts; 1325 likes; 2874 bookmarks; 305061 views|2026-Q1
2045581185057739221|2026-04-18|01|19 replies; 20 reposts; 183 likes; 109 bookmarks; 34053 views|2026-Q1
2033889441257779607|2026-03-17|01|9 replies; 12 reposts; 155 likes; 78 bookmarks; 32907 views|2026-Q1
2029256161355030534|2026-03-04|00|21 replies; 72 reposts; 582 likes; 479 bookmarks; 28872 views|2026-Q1
2047332269782663588|2026-04-23|00|6 replies; 11 reposts; 156 likes; 103 bookmarks; 52609 views|2026-Q1
2032449882997375218|2026-03-13|00|11 replies; 16 reposts; 245 likes; 187 bookmarks; 54240 views|2026-Q1
2038323656942584212|2026-03-29|00|14 replies; 41 reposts; 296 likes; 148 bookmarks; 34286 views|2026-Q1
2028505670039810445|2026-03-02|00|8 replies; 65 reposts; 479 likes; 679 bookmarks; 37622 views|2026-Q1
2065559213938548990|2026-06-12|00|19 replies; 62 reposts; 446 likes; 414 bookmarks; 19577 views|2026-Q2
2060861682822369410|2026-05-30|01|28 replies; 28 reposts; 323 likes; 149 bookmarks; 76704 views|2026-Q2
2072832054149177777|2026-07-02|00|16 replies; 78 reposts; 415 likes; 519 bookmarks; 28453 views|2026-Q2
2052512172475859376|2026-05-07|01|12 replies; 33 reposts; 320 likes; 257 bookmarks; 47478 views|2026-Q2
2055307951712211125|2026-05-15|00|27 replies; 41 reposts; 536 likes; 154 bookmarks; 26280 views|2026-Q2
2081937462369120728|2026-07-28|00|28 replies; 3 reposts; 122 likes; 56 bookmarks; 31764 views|2026-Q2
