perf_1w,perf_1m,perf_3m,perf_6m,perf_1w_pctile,perf_3m_pctile,rs_1m,rs_3m,rs_6m,h_score,rel_volume,adr_pct,market_cap,vcs,atr_from_sma50,ema21_atr_dist,sma50_dist,sma20_dist,sma200_dist,high_52w,change_pct,avg_volume,pp_count_10d,dcr_pct,vol_5d_50d,close,his,day,t,rs21,rs126,px21,px63,px126,dollar_vol
0.0542265012,0.1623681445,0.1810600859,0.1435986015,0.7893,0.7806,85,71,62,73,0.6902529041,4.1504,2120000000.0,16.0,3.1387,1.6866,0.1497784987,0.0885137921,0.0689191359,-0.2625511203,0.0107033168,1331239.6,4.0,0.8281,,19.83,False,2026-08-11,ALKT,100.0,91.26984126984127,100.0,100.0,100.0,26398481.268
0.2221984045,0.2837351069,0.8110530021,0.7178227545,0.9676,0.9763,95,97,93,66,1.0061135751,5.6172,1940000000.0,8.7,3.4226,2.7537,0.2380131106,0.2283765159,0.6450383769,-0.039605604,0.0083163979,285381.3,1.0,0.2061,,113.97,False,2026-08-11,ALNT,100.0,100.0,100.0,100.0,100.0,32524906.761
0.2677321968,0.3095975366,1.0533980474,0.7359780684,0.9767,0.9858,95,98,94,86,1.1131522825,5.2026,1590000000.0,8.6,6.3007,4.2599,0.4876555686,0.3129170235,0.4767275263,-0.0139860378,0.0410172286,2122582.9,4.0,0.7465,,12.69,True,2026-08-11,AMPL,100.0,100.0,100.0,100.0,100.0,26935577.001
0.0027368534,0.0836939156,0.388031538,0.3792262831,0.5332,0.9167,68,90,84,61,0.6690372242,5.4302,249530000000.0,12.6,2.4024,1.5128,0.15002462,0.1079781971,0.3412691337,-0.0792963532,0.0330513873,7783569.9,2.0,0.8732,,197.85,True,2026-08-11,ANET,100.0,100.0,100.0,100.0,100.0,1539979304.715
0.0778438055,0.2702702458,0.614700317,0.2818646396,0.8484,0.9592,94,95,79,76,0.9743124248,3.9338,5240000000.0,18.0,5.3816,3.0133,0.2685546568,0.1509773698,0.2781321651,-0.1137405103,-0.0047245218,968254.1,3.0,0.5724,,117.97,False,2026-08-11,ANF,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,114224936.177
0.0519171206,0.163705127,0.3066031529,0.0781731332,0.7831,0.8817,85,85,51,74,0.9285121431,4.4313,7190000000.0,4.9,3.5259,2.026,0.1851770789,0.1140973155,0.0659176434,-0.2968638559,0.0174401679,455785.1,3.0,0.9861,,203.02,False,2026-08-11,APPF,100.0,92.06349206349206,100.0,100.0,100.0,92533491.002
0.1852469762,0.4102461434,0.7305067022,0.3512175568,0.9573,0.9696,98,97,83,82,0.5869204353,5.9291,2540000000.0,0.6,4.8664,3.2411,0.4055461288,0.2802854993,0.2628886673,-0.2290323329,-0.001967496,916067.95,2.0,0.2614,,35.51,False,2026-08-11,APPN,100.0,100.0,95.23809523809523,98.4126984126984,99.20634920634922,32529572.904499996
0.0238963743,0.189609285,0.1689444647,0.0695644905,0.6747,0.7645,88,69,49,60,0.9920578145,3.7382,46990000000.0,3.8,3.2926,2.1998,0.1403629773,0.1030437515,0.0860386902,-0.2400144178,0.0395902717,2291799.9,4.0,0.7646,,143.11,False,2026-08-11,ARES,100.0,94.44444444444444,100.0,100.0,100.0,327979483.689
0.0416666532,0.2399463744,0.5391014389,0.1253040997,0.7508,0.9471,92,94,59,78,0.6973921197,6.2192,2130000000.0,8.9,2.749,1.7159,0.2062175676,0.1456527157,0.0089496553,-0.4112030568,0.0021668969,5334564.15,0.0,0.437,,9.25,True,2026-08-11,ASAN,100.0,100.0,95.23809523809523,98.4126984126984,99.20634920634922,49344718.3875
0.12173956,0.214527021,0.4289796266,0.6789259567,0.9144,0.9269,91,91,93,73,0.805592886,4.4138,31330000000.0,4.5,3.5638,2.657,0.1866595827,0.1571228992,0.5552718858,-0.0382476866,0.0082825688,1637852.1,2.0,0.6395,,230.08,True,2026-08-11,ATI,100.0,100.0,100.0,100.0,100.0,376837011.16800004
0.1076576265,0.350357023,0.3578133254,0.466308854,0.8994,0.9064,96,89,87,67,1.6713021467,5.6989,5670000000.0,0.5,4.6322,3.0466,0.3586686429,0.2421387687,,-0.3774683506,0.0349326564,1466388.95,3.0,0.7573,,24.59,True,2026-08-11,BETA,100.0,99.20634920634922,100.0,100.0,100.0,36058504.2805
0.0240066195,0.1960357945,0.200097019,-0.0223276241,0.6754,0.8064,89,75,33,69,0.853800941,4.028,4930000000.0,33.4,4.703,1.9736,0.2337121469,0.0790182349,0.1300325234,-0.1351162326,0.0044661232,2366798.75,3.0,0.5763,,49.48,False,2026-08-11,BILL,95.23809523809523,88.09523809523809,100.0,100.0,99.20634920634922,117109202.14999999
0.2241512133,0.4785648134,0.7530386118,0.3965669235,0.9681,0.9719,98,97,84,84,1.4609212431,5.296,12010000000.0,1.6,6.3815,3.9838,0.5104920137,0.3106695556,0.4737540985,-0.0502843554,0.028525094,8590475.4,3.0,0.5856,,31.73,True,2026-08-11,CHYM,100.0,100.0,100.0,100.0,100.0,272575784.44200003
0.1435668861,0.16350774,0.4333749205,0.8291617313,0.9331,0.9277,85,92,95,71,1.1410985648,4.6359,4050000000.0,36.8,3.5704,1.9811,0.1983529409,0.0828609995,0.5897351203,-0.0286919951,0.0125357308,1350831.6,1.0,0.2,,46.04,True,2026-08-11,CLMT,100.0,100.0,100.0,100.0,100.0,62192286.864
0.0573715489,0.0530062089,0.6251052537,1.1471248558,0.7985,0.9608,58,95,97,81,0.7547456573,4.2787,225950000000.0,19.2,3.5868,2.2513,0.1812943158,0.1183827255,0.6340550176,-0.0220361399,-0.0144786361,7994282.5,2.0,0.4236,,221.9,False,2026-08-11,CRWD,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,1773931286.75
