setup,ticker,entry,exit,days,R,mfe_R,mae_R,capture%,entry_px,stop,stop_dist%,stop_ATR,vs_ma20%,vs_ma50%,vs_ma200%,ma20_50_gap%,vs_20dhigh%,pos_52w%,rsi14,atr%,trims,dir,machine_guess,trade_id,machine_guess_v2,guess_v2_conf
,SNXX,2026-06-03,2026-06-05,2,-0.82,0.49,3.32,-170.0,31.49,28.4,9.81,0.9,37.5,117.6,,58.2,-4.5,94.0,73.0,11.0,2,long,Extended long — RSI overbought,SNXX_2026-06-03_000,Other — 对不上三类,low
,CRDO,2026-06-02,2026-06-03,1,-0.03,4.07,1.0,-1.0,212.28,204.0,3.9,0.42,6.1,29.5,,22.0,-13.7,89.0,65.0,8.5,1,long,Long in mixed structure,CRDO_2026-06-02_000,Other — 对不上三类,low
,INTC,2026-06-02,2026-06-03,1,0.0,0.76,0.98,0.0,112.12,104.0,7.24,0.94,-3.6,31.9,,36.8,-15.5,77.0,52.0,8.0,1,long,Long in mixed structure,INTC_2026-06-02_000,Other — 对不上三类,low
,VIAV,2026-06-02,2026-06-04,2,-1.77,0.36,2.25,-492.0,53.89,51.2,4.99,0.72,5.1,18.9,,13.1,-5.3,85.0,58.0,7.1,1,long,Long in mixed structure,VIAV_2026-06-02_000,Other — 对不上三类,low
,FLY,2026-06-01,2026-06-03,2,-0.54,0.41,1.14,-130.0,44.56,40.0,10.23,0.77,4.8,19.2,,13.7,-28.3,61.0,52.0,13.5,1,long,Long in mixed structure,FLY_2026-06-01_000,Other — 对不上三类,low
,PL,2026-06-01,2026-06-03,2,-1.0,0.96,2.59,-104.0,48.58,46.3,4.69,0.54,13.2,27.7,,12.8,-6.1,88.0,59.0,9.1,1,long,Long in mixed structure,PL_2026-06-01_000,Other — 对不上三类,low
,TSLL,2026-06-01,2026-06-05,4,-0.83,2.09,4.46,-40.0,14.58,14.1,3.29,0.43,-2.9,10.4,,13.7,-15.6,34.0,49.0,7.8,1,long,Long in mixed structure,TSLL_2026-06-01_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,CRDO,2026-05-31,2026-06-02,2,6.16,16.2,-5.74,38.0,191.37,188.0,1.76,0.18,-2.1,20.3,,22.9,-20.5,97.0,69.0,8.2,2,long,Long in mixed structure,CRDO_2026-05-31_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,DOCN,2026-05-31,2026-06-05,5,1.16,2.81,0.84,41.0,162.73,155.0,4.75,0.73,7.6,44.1,,33.9,-2.0,93.0,63.0,6.8,3,long,Long in mixed structure,DOCN_2026-05-31_000,Breakout,high
,OKLL,2026-05-31,2026-06-02,2,1.13,1.58,1.23,71.0,9.26,8.4,9.29,0.53,-3.5,5.2,,9.0,-31.8,2.0,48.0,18.4,1,long,Long in mixed structure,OKLL_2026-05-31_000,Other — 对不上三类,low
,SKM,2026-05-31,2026-06-03,3,0.76,1.48,1.18,51.0,42.89,40.0,6.74,1.67,13.5,21.1,,6.6,7.3,85.0,51.0,4.6,1,long,Long in mixed structure,SKM_2026-05-31_000,Breakout,high
