date,n,h_score,h_score_spread,rs_21d,rs_21d_spread,rs_63d,rs_63d_spread,rs_126d,rs_126d_spread,i_score,i_score_spread
2026-03-15,2104,0.11917445889290965,0.04442986927000758,-0.23102738720206195,-0.04546740674356864,0.12107464556945682,0.06752968389654135,0.21855359113446618,0.09134000407622489,0.10330170376770668,0.05031430944242776
2026-03-16,2105,0.08999443193729645,0.03339574504124054,-0.21064992207272423,-0.04233190547158883,0.10096041553566182,0.060493259133983956,0.1776065975107321,0.0770329066473141,0.07488755857063131,0.047575691231540485
2026-03-17,2111,0.028266268851502355,0.0028086523151542586,-0.17874017325169383,-0.03321596107642666,0.023972312361685396,0.0139148842228487,0.1179153907656439,0.0639532481994366,0.019748217757352842,0.005344723054733214
2026-03-18,2096,0.02743393255111681,-0.00702155952320993,-0.16579112137063504,-0.03180623356864665,0.023832420209528818,0.019528704527814078,0.10520220425162864,0.04231994453822141,0.01840721431758249,-0.007726264774180036
2026-03-19,2100,-0.039357353579102396,-0.05252835626757191,-0.2631172675235925,-0.08927701001137411,-0.02518435799032568,0.005346703794909979,0.037231388676106994,0.03983723077399626,-0.024600753281403865,-0.06528506279934754
2026-03-20,2089,-0.04515089967671851,-0.0974487861125718,-0.30888580039823577,-0.12973090082882677,-0.030137005557195673,-0.021635307028599504,0.02868416048474876,0.03864781358364344,-0.020637971916193574,-0.06885473662500097
2026-03-23,2107,0.020919905665472194,-0.008470605968468048,-0.13160936814197904,-0.06456762962378026,0.014894122679179242,0.020902411946627675,0.06927484717574224,0.05541016581444158,0.012481211716646906,-0.02887936112782208
2026-03-24,2107,-0.09562075576877994,-0.046392514432798015,-0.11233298593319843,-0.04890700410022675,-0.10079647579532179,-0.01722916092236826,-0.017693923697104184,0.024794153892966464,-0.09718730547829356,-0.06246594530431582
2026-03-25,2110,0.034325026577395765,0.003085876745149707,-0.09226579365735879,-0.052951369813598825,0.02324198078604112,0.03601797880166946,0.053929451554670924,0.049185807526714975,0.04844043896996837,-0.0005826827415438274
2026-03-26,2103,-0.014897314095093548,-0.05129092901186327,-0.20801847733035414,-0.10971012599198926,-0.009221705931775044,-0.011219587582606105,0.04441867701008276,0.04020095917739508,-0.000920694506164148,-0.04790579169981701
2026-03-27,2094,-0.07221330945085463,-0.08911908976046334,-0.15882291068984675,-0.08596881831389891,-0.0683540093184615,-0.021976188920531103,-0.007153453498602748,0.014320693135505214,-0.07225371657873461,-0.0857648488287881
2026-03-30,2089,-0.05780258288059623,-0.07607828412334938,-0.24499464560889814,-0.10670594409195688,-0.0478891887605041,-0.014001750506322796,0.00024267957390593933,0.026660351322546183,-0.035106896545943386,-0.05794321311075379
2026-03-31,2101,0.03247749809599268,0.014572175993247338,0.03268373663464777,-0.020388452986266792,0.03982121992458077,0.031685149874634444,0.02632504753228767,0.019275224244170053,0.01596243376572827,-0.002227154137660836
2026-04-01,2108,0.07309606814046096,0.052779848673475294,0.03097342313470382,-0.007713028094711194,0.07615891719872833,0.0535415768869425,0.052406473348979285,0.01934610196504849,0.07396041593673681,0.026890255324635404
2026-04-02,2117,-0.02302081752822021,0.008296521990836525,-0.019419118746935905,-0.04428199660630161,-0.017801108015049867,0.0027803135279556024,-0.01819236992127458,-0.011854778511321329,-0.0177624794194426,-0.001144018704699823
2026-04-03,2117,-0.02290340872951132,0.008774122130849715,-0.01938205366377951,-0.04428199660630161,-0.017652837954304387,0.0027803135279556024,-0.018232485181759624,-0.011854778511321329,-0.017663585289744092,-0.001144018704699823
2026-04-06,2120,0.03461985508889782,0.014516508498789271,0.1271246818123253,0.0449421495292861,0.015604473009104789,0.0018698834597791203,0.017927313627360622,0.007280771492982563,0.01268108609397238,0.009221545016419808
2026-04-07,2122,0.05135212606712809,0.007637638334531127,0.07746498929913359,0.002049917461895534,0.020343598478249077,-0.03114935581412759,0.02181051986217331,-0.027766202479102442,0.048831060686903266,0.021968195567195314
2026-04-08,2127,0.028166548308927928,0.029307700907730716,0.11035189822932664,0.06851152708898556,0.0025739640517652993,0.003698949248189476,0.028240342033693536,0.020219289850742506,0.01001638129319525,0.026560317731190608
2026-04-09,2133,-0.10872455343688597,-0.03464116645910731,-0.023649255399458738,-0.022484706821491063,-0.11880972077704338,-0.07746181923375728,-0.11185447398505065,-0.08455181996461958,-0.08688983873023033,-0.04314645033429665
2026-04-10,2132,-0.09453577477594274,-0.030290591112507204,0.017016363369489314,-0.007400203517834658,-0.10446175988144821,-0.08595154652859383,-0.09679701003050188,-0.08350894494911154,-0.09032044607624394,-0.06825379101867868
2026-04-13,2140,0.07860546166289555,0.04578318942868009,0.09532148992579473,0.08823498429723609,0.047835484464917255,0.013487687166307327,0.05447949989801289,0.014705558829627208,0.0709370281749734,0.023143084002195002
2026-04-14,2146,0.15687194943740249,0.09176800040519872,0.08795215774719291,0.07139396834277134,0.12499869167840534,0.05810286675076248,0.10145750098401103,0.032484540028524966,0.15713440997029257,0.06240950959826885
2026-04-15,2148,0.27007552476991237,0.1582377775155781,0.1259735823035754,0.10095234629430927,0.24217655052141587,0.125926800856485,0.21294435961068126,0.09353632462630235,0.24719848891220186,0.11719439709667268
2026-04-16,2153,0.2529863011785834,0.1476461115570496,0.1314489074723608,0.09903149861508087,0.22075353672444614,0.10343744403193039,0.19074720171549542,0.09539518843649841,0.23520254739688487,0.10349780309032569
2026-04-17,2168,0.23569218430391098,0.1302215839664621,-0.021747074290972206,0.03453402958922791,0.22833554688345273,0.11012016732254298,0.16355368553917488,0.06987215423431253,0.2449351327047845,0.1334530282600196
2026-04-20,2168,0.2133425313713627,0.10217664638028046,-0.1012868945128207,-0.03301868776926353,0.20391993617472604,0.08676633908960185,0.12631046300854465,0.03169947642277787,0.25469566814120037,0.14286922068335461
