_meta,startingCapital,1000000
_meta,exportDate,2026-07-26
Ticker,Direction,Sector,Entry Date,Entry Price,Original Qty,Current Qty,Stop Price,Initial Stop,Closed,Trim1 Date,Trim1 Price,Trim1 Qty,Trim1 Type,Trim2 Date,Trim2 Price,Trim2 Qty,Trim2 Type,Trim3 Date,Trim3 Price,Trim3 Qty,Trim3 Type
APLD,long,Unknown,2026-01-25T15:00:00.000Z,39.54,4152,0,37.8,37.8,YES,2026-01-26,38.96,1384,trim_1_3,2026-01-26,38.38,1384,trim_1_3,2026-01-26,37.8,1384,sell_rest
SNOW,long,Unknown,2026-01-26T15:00:00.000Z,214.5,758,0,210,210,YES,2026-01-28,219,758,sell_rest,,,,,,,,
CRWV,long,Unknown,2026-01-26T15:00:00.000Z,104.5,519,0,100,100,YES,2026-01-28,108.9,519,sell_rest,,,,,,,,
FIGR,long,Unknown,2026-01-27T15:00:00.000Z,67.3,801,0,61,61,YES,2026-01-29,65.2,267,trim_1_3,2026-01-29,63.1,267,trim_1_3,2026-01-29,61,267,sell_rest
TTMI,long,Unknown,2026-01-27T15:00:00.000Z,98.1,329,0,94.4,94.4,YES,2026-01-29,96.5,329,sell_rest,,,,,,,,
RMBS,long,Unknown,2026-01-27T15:00:00.000Z,121.7,1329,0,115,115,YES,2026-01-29,119.47,443,trim_1_3,2026-01-29,117.23,443,trim_1_3,2026-01-29,115,443,sell_rest
LEU,long,Unknown,2026-01-27T15:00:00.000Z,318.64,507,0,290,290,YES,2026-01-30,287.13,507,sell_rest,,,,,,,,
ASTS,long,Unknown,2026-01-28T15:00:00.000Z,117.2,1392,0,110,110,YES,2026-01-30,114.7,1392,sell_rest,,,,,,,,
BABA,long,Consumer Cyclical,2026-02-02T15:00:00.000Z,164.43,604,0,157,157,YES,2026-02-04,161.95,201,trim_1_3,2026-02-04,159.48,201,trim_1_3,2026-02-04,157,202,sell_rest
NAIL,long,Unknown,2026-02-02T15:00:00.000Z,66.43,1481,0,59.17,59.17,YES,2026-02-12,79.41,740,trim_1_2,2026-02-12,77.77,741,sell_rest,,,,
