bucket,depth,p2t,t2r,uw,peak,trough_date
0–5%,0.30460640646009507,1,2,3,1961-04-04,1961-04-05
0–5%,0.5403791586754858,2,4,6,1961-04-11,1961-04-13
5–10%,6.231797845484765,7,191,198,1961-04-17,1961-04-24
0–5%,0.1411120356143214,1,1,2,1961-11-08,1961-11-09
0–5%,0.06975781169329398,1,4,5,1961-11-15,1961-11-16
0–5%,0.11145421066482974,1,2,3,1961-11-21,1961-11-22
0–5%,0.7376461942275037,3,4,7,1961-11-27,1961-11-30
0–5%,0.4305029562446161,3,1,4,1961-12-04,1961-12-07
20–30%,27.973568096863065,196,434,630,1961-12-12,1962-06-26
0–5%,0.027531339736730498,1,1,2,1963-09-03,1963-09-04
0–5%,0.575339957459331,4,2,6,1963-09-05,1963-09-09
0–5%,0.5464397720770453,7,1,8,1963-09-11,1963-09-18
0–5%,0.4638525963567508,3,1,4,1963-09-20,1963-09-23
0–5%,2.1828186042309516,6,18,24,1963-09-24,1963-09-30
0–5%,0.5723605678191079,1,3,4,1963-10-21,1963-10-22
5–10%,6.538671491787285,25,25,50,1963-10-28,1963-11-22
0–5%,1.2443140644329609,6,8,14,1963-12-17,1963-12-23
0–5%,0.07865437802030417,4,1,5,1964-01-09,1964-01-13
0–5%,0.3000988118093906,5,2,7,1964-01-15,1964-01-20
0–5%,0.6224917042331857,5,9,14,1964-01-24,1964-01-29
0–5%,0.168433859683792,3,1,4,1964-02-07,1964-02-10
0–5%,0.14180818716555965,5,3,8,1964-02-12,1964-02-17
0–5%,0.3210478890229296,1,4,5,1964-02-26,1964-02-27
0–5%,0.2045559442755751,2,1,3,1964-03-03,1964-03-05
0–5%,0.7432556793962597,6,9,15,1964-03-18,1964-03-24
0–5%,0.39989966039563063,3,6,9,1964-04-06,1964-04-09
0–5%,1.4897635408724352,10,8,18,1964-04-17,1964-04-27
0–5%,0.3080714667889173,4,1,5,1964-05-07,1964-05-11
0–5%,3.104982945728274,27,17,44,1964-05-12,1964-06-08
0–5%,0.3598884951550252,4,2,6,1964-07-10,1964-07-14
0–5%,3.2020025866017043,40,30,70,1964-07-17,1964-08-26
0–5%,0.23730060647713103,3,1,4,1964-09-28,1964-10-01
0–5%,1.1614240832710343,3,32,35,1964-10-12,1964-10-15
0–5%,0.046394009465333674,1,1,2,1964-11-18,1964-11-19
0–5%,3.5465897101148336,25,34,59,1964-11-20,1964-12-15
0–5%,0.12697750645169759,2,1,3,1965-01-19,1965-01-21
0–5%,0.034253001449746634,1,1,2,1965-02-01,1965-02-02
0–5%,2.3850238541564095,8,60,68,1965-02-03,1965-02-11
0–5%,0.10199041258995845,1,4,5,1965-04-14,1965-04-15
0–5%,0.23726028630011164,2,1,3,1965-04-19,1965-04-21
0–5%,0.12354066624047366,2,1,3,1965-04-27,1965-04-29
0–5%,0.4114714465322189,5,1,6,1965-05-06,1965-05-11
5–10%,9.604518102761283,46,91,137,1965-05-13,1965-06-28
0–5%,0.8273579562884881,4,7,11,1965-09-27,1965-10-01
0–5%,0.1970015319743612,3,1,4,1965-10-11,1965-10-14
0–5%,0.021791145747196428,1,1,2,1965-10-19,1965-10-20
0–5%,0.33703541712788443,3,1,4,1965-10-22,1965-10-25
0–5%,0.7350559825676006,14,2,16,1965-10-27,1965-11-10
0–5%,2.202311320323469,21,30,51,1965-11-15,1965-12-06
0–5%,0.23552211977094784,1,2,3,1966-01-11,1966-01-12
0–5%,1.9052616756538465,14,8,22,1966-01-18,1966-02-01
20–30%,22.177334841367635,240,209,449,1966-02-09,1966-10-07
5–10%,6.502433291198773,28,56,84,1967-05-08,1967-06-05
0–5%,0.12528201995909427,1,1,2,1967-08-02,1967-08-03
0–5%,3.328813920957785,24,16,40,1967-08-04,1967-08-28
0–5%,0.41438053551979825,2,1,3,1967-09-18,1967-09-20
10–15%,10.113736538132589,162,55,217,1967-09-25,1968-03-05
0–5%,0.5205696946778193,1,1,2,1968-04-29,1968-04-30
0–5%,0.3142156664112661,3,1,4,1968-05-03,1968-05-06
0–5%,2.4871161892490834,12,14,26,1968-05-08,1968-05-20
0–5%,0.488142934027469,1,1,2,1968-06-04,1968-06-05
0–5%,2.223098617763297,20,7,27,1968-06-11,1968-07-01
5–10%,5.62555148995616,22,53,75,1968-07-11,1968-08-02
0–5%,0.2729299047586231,3,3,6,1968-09-24,1968-09-27
0–5%,0.009644331615821233,3,1,4,1968-10-04,1968-10-07
0–5%,0.5398087238531968,3,6,9,1968-10-08,1968-10-11
0–5%,1.8382706395327908,11,12,23,1968-10-21,1968-11-01
0–5%,0.1601640945193883,2,1,3,1968-11-19,1968-11-21
30–·%,36.061641451132346,543,650,1193,1968-11-29,1970-05-26
0–5%,2.2668880703534344,21,7,28,1972-03-08,1972-03-29
0–5%,0.15508647516900842,3,1,4,1972-04-07,1972-04-10
0–5%,4.937377406370091,27,15,42,1972-04-12,1972-05-09
0–5%,4.382799514741286,55,19,74,1972-05-26,1972-07-20
5–10%,5.135500890242872,63,16,79,1972-08-14,1972-10-16
0–5%,0.761690367084622,5,6,11,1972-11-03,1972-11-08
0–5%,0.39147190969026635,1,1,2,1972-11-14,1972-11-15
0–5%,0.6821825234618384,4,3,7,1972-11-24,1972-11-28
0–5%,0.1613270080898066,1,1,2,1972-12-04,1972-12-05
0–5%,3.366354972943897,10,13,23,1972-12-11,1972-12-21
0–5%,0.1421746001331381,1,1,2,1973-01-03,1973-01-04
0–5%,0.3670663479807046,5,1,6,1973-01-05,1973-01-10
30–·%,48.20359290935836,630,2114,2744,1973-01-11,1974-10-03
0–5%,1.444783480203271,15,2,17,1980-07-21,1980-08-05
0–5%,1.202115735433773,2,1,3,1980-08-11,1980-08-13
0–5%,2.4817075376135422,4,3,7,1980-08-15,1980-08-19
0–5%,3.1264838255560257,6,6,12,1980-08-22,1980-08-28
0–5%,2.2280408553705278,5,8,13,1980-09-03,1980-09-08
0–5%,0.3647095821457391,1,1,2,1980-09-17,1980-09-18
5–10%,5.260731059851665,7,7,14,1980-09-22,1980-09-29
0–5%,1.0931469582559195,4,3,7,1980-10-06,1980-10-10
0–5%,0.0075698757315278975,1,1,2,1980-10-13,1980-10-14
5–10%,5.542255947532593,15,13,28,1980-10-15,1980-10-30
0–5%,0.45812412571888395,1,1,2,1980-11-18,1980-11-19
0–5%,1.4886014449769558,4,4,8,1980-11-20,1980-11-24
20–30%,27.113581657485362,622,83,705,1980-11-28,1982-08-12
0–5%,1.7008418554141258,5,1,6,1982-11-03,1982-11-08
5–10%,7.05496524630056,14,44,58,1982-11-09,1982-11-23
0–5%,0.06196158465781032,1,3,4,1983-01-06,1983-01-07
0–5%,4.639595050571899,14,14,28,1983-01-10,1983-01-24
0–5%,1.3135457510298876,2,1,3,1983-02-07,1983-02-09
0–5%,2.316522606532845,8,2,10,1983-02-14,1983-02-22
0–5%,1.1219499618937867,3,1,4,1983-02-25,1983-02-28
0–5%,2.655041244009859,10,25,35,1983-03-07,1983-03-17
0–5%,0.6447970100645573,1,1,2,1983-04-18,1983-04-19
0–5%,1.1822593963649486,5,1,6,1983-04-20,1983-04-25
0–5%,0.22866023284717762,1,1,2,1983-04-26,1983-04-27
0–5%,1.410929981614839,3,4,7,1983-04-29,1983-05-02
0–5%,2.4744132807497654,13,6,19,1983-05-06,1983-05-19
0–5%,2.917998861443394,14,7,21,1983-05-25,1983-06-08
0–5%,0.07094425778675362,4,1,5,1983-06-16,1983-06-20
5–10%,6.906843931211504,47,63,110,1983-06-22,1983-08-08
10–15%,14.381689805997288,288,181,469,1983-10-10,1984-07-24
0–5%,0.33276724632564925,1,1,2,1985-01-23,1985-01-24
0–5%,0.556699867960464,1,3,4,1985-01-31,1985-02-01
0–5%,0.09966664855877161,1,1,2,1985-02-05,1985-02-06
0–5%,0.922118619055734,3,2,5,1985-02-08,1985-02-11
0–5%,3.7196657197645866,30,41,71,1985-02-13,1985-03-15
0–5%,2.7585442733661703,6,9,15,1985-04-25,1985-05-01
0–5%,0.4008479988719338,1,2,3,1985-05-13,1985-05-14
0–5%,1.1174336409165875,3,12,15,1985-05-20,1985-05-23
0–5%,2.999055689709096,7,14,21,1985-06-06,1985-06-13
0–5%,0.5092738995163937,2,2,4,1985-07-01,1985-07-03
0–5%,0.7635576501560437,4,2,6,1985-07-05,1985-07-09
0–5%,0.2948895883016056,3,1,4,1985-07-12,1985-07-15
5–10%,7.661635932534705,70,47,117,1985-07-17,1985-09-25
0–5%,0.4947474346122638,1,1,2,1985-11-12,1985-11-13
0–5%,0.4772415150676168,1,6,7,1985-11-14,1985-11-15
0–5%,0.5805866138050675,3,2,5,1985-11-22,1985-11-25
0–5%,1.0269510423687955,5,2,7,1985-11-27,1985-12-02
0–5%,0.6071538267225285,2,3,5,1985-12-04,1985-12-06
0–5%,2.3016719104209327,8,14,22,1985-12-16,1985-12-24
0–5%,4.822262587198301,15,12,27,1986-01-07,1986-01-22
0–5%,0.5468374420547928,1,3,4,1986-02-03,1986-02-04
0–5%,0.14798710510987023,1,2,3,1986-02-10,1986-02-11
0–5%,1.2092616220768626,1,2,3,1986-02-18,1986-02-19
0–5%,0.36951377842460165,4,2,6,1986-02-21,1986-02-25
0–5%,1.1369653851018624,5,6,11,1986-02-28,1986-03-05
0–5%,1.3570097960069916,7,5,12,1986-03-14,1986-03-21
0–5%,4.32690140397205,11,9,20,1986-03-27,1986-04-07
0–5%,0.2674541825079979,1,3,4,1986-04-17,1986-04-18
0–5%,4.894994981383515,25,11,36,1986-04-21,1986-05-16
0–5%,3.387367546257092,12,15,27,1986-05-29,1986-06-10
0–5%,0.07632153143740661,1,1,2,1986-06-25,1986-06-26
