bucket,depth,p2t,t2r,uw,peak,trough_date
30–·%,49.14694789846552,929,1694,2623,2000-03-24,2002-10-09
0–5%,3.1484349664599676,3,35,38,2007-06-04,2007-06-07
0–5%,0.40772663798309683,5,1,6,2007-07-13,2007-07-18
5–10%,9.425142878970883,27,51,78,2007-07-19,2007-08-15
0–5%,0.3216513893620543,3,1,4,2007-10-05,2007-10-08
30–·%,56.77538774277282,517,1480,1997,2007-10-09,2009-03-09
0–5%,0.44735804606589324,4,1,5,2013-03-28,2013-04-01
0–5%,1.0807177648861632,3,5,8,2013-04-02,2013-04-05
0–5%,3.248461432325278,7,11,18,2013-04-11,2013-04-18
0–5%,0.9307883608932754,1,1,2,2013-04-30,2013-05-01
0–5%,0.3687103906423572,1,1,2,2013-05-08,2013-05-09
0–5%,0.5009741163373271,1,1,2,2013-05-15,2013-05-16
0–5%,0.0707617924973758,3,1,4,2013-05-17,2013-05-20
5–10%,5.755593615479104,34,17,51,2013-05-21,2013-06-24
0–5%,0.3708760911961373,1,2,3,2013-07-15,2013-07-16
0–5%,0.6015861156064228,7,3,10,2013-07-22,2013-07-29
0–5%,4.63189161891261,25,22,47,2013-08-02,2013-08-27
0–5%,4.060808774528734,20,9,29,2013-09-18,2013-10-08
0–5%,0.47245572414630344,1,2,3,2013-10-22,2013-10-23
0–5%,1.399583929637016,9,6,15,2013-10-29,2013-11-07
0–5%,0.934837340624417,5,2,7,2013-11-15,2013-11-20
0–5%,0.12633420978621634,3,2,5,2013-11-22,2013-11-25
0–5%,1.2283965744147807,8,4,12,2013-11-27,2013-12-05
0–5%,1.8276154170531522,4,5,9,2013-12-09,2013-12-13
0–5%,0.057992920441085616,1,1,2,2013-12-18,2013-12-19
0–5%,0.051577791343948576,4,1,5,2013-12-26,2013-12-30
0–5%,1.577616612066035,13,2,15,2013-12-31,2014-01-13
5–10%,5.761260668967605,19,24,43,2014-01-15,2014-02-03
0–5%,0.7378510346287226,3,1,4,2014-02-28,2014-03-03
0–5%,0.005335132643191631,1,1,2,2014-03-04,2014-03-05
0–5%,1.9653486300597045,7,18,25,2014-03-07,2014-03-14
0–5%,3.977475384036655,9,31,40,2014-04-02,2014-04-11
0–5%,1.401880221900409,2,8,10,2014-05-13,2014-05-15
0–5%,0.11140717108722997,1,1,2,2014-05-27,2014-05-28
0–5%,0.037921654875650024,1,1,2,2014-06-02,2014-06-03
0–5%,1.0844236813913999,3,6,9,2014-06-09,2014-06-12
0–5%,0.6566922251856955,4,7,11,2014-06-20,2014-06-24
0–5%,1.3760147420884605,14,6,20,2014-07-03,2014-07-17
0–5%,3.944206428135111,14,14,28,2014-07-24,2014-08-07
0–5%,0.19925870761225983,1,3,4,2014-08-21,2014-08-22
0–5%,0.1689901051468934,1,1,2,2014-08-27,2014-08-28
0–5%,0.2855174389686521,6,1,7,2014-08-29,2014-09-04
0–5%,1.1744702428869158,10,3,13,2014-09-05,2014-09-15
5–10%,7.401459519995712,27,16,43,2014-09-18,2014-10-15
0–5%,0.2948426995476483,4,1,5,2014-10-31,2014-11-04
0–5%,0.07011166816754955,1,2,3,2014-11-11,2014-11-12
0–5%,0.15011590075549863,1,1,2,2014-11-18,2014-11-19
0–5%,0.11500296768531815,1,1,2,2014-11-24,2014-11-25
0–5%,0.9354426551109074,5,2,7,2014-11-26,2014-12-01
0–5%,0.11618962070774064,1,1,2,2014-12-03,2014-12-04
0–5%,4.945148149873491,11,6,17,2014-12-05,2014-12-16
0–5%,0.013929653841071588,1,2,3,2014-12-23,2014-12-24
0–5%,4.682934377363013,17,29,46,2014-12-29,2015-01-15
0–5%,0.1376032736513877,2,1,3,2015-02-17,2015-02-19
0–5%,0.03033391953459752,3,1,4,2015-02-20,2015-02-23
0–5%,0.5190302234066579,3,3,6,2015-02-24,2015-02-27
0–5%,3.6436323142079674,9,44,53,2015-03-02,2015-03-11
0–5%,1.7726881697124885,12,8,20,2015-04-24,2015-05-06
0–5%,0.15732921249511644,2,1,3,2015-05-18,2015-05-20
10–15%,14.160750444640424,266,151,417,2015-05-21,2016-02-11
0–5%,0.09289473209127541,1,3,4,2016-07-14,2016-07-15
0–5%,0.1435173652293842,1,1,2,2016-07-18,2016-07-19
0–5%,0.3612528916297486,1,1,2,2016-07-20,2016-07-21
0–5%,0.8275747809247003,11,3,14,2016-07-22,2016-08-02
0–5%,0.3380928116160087,5,1,6,2016-08-05,2016-08-10
0–5%,0.07960463737501922,1,3,4,2016-08-11,2016-08-12
0–5%,4.792821285465132,81,17,98,2016-08-15,2016-11-04
0–5%,1.0061679602712648,6,6,12,2016-11-25,2016-12-01
0–5%,0.11374349205595102,3,1,4,2016-12-09,2016-12-12
0–5%,1.447796955711278,17,7,24,2016-12-13,2016-12-30
0–5%,0.5836695612828402,13,5,18,2017-01-06,2017-01-19
0–5%,0.8484273204814374,6,9,15,2017-01-25,2017-01-31
0–5%,0.08641180363413437,1,1,2,2017-02-15,2017-02-16
0–5%,0.10822001454080521,1,2,3,2017-02-21,2017-02-22
0–5%,0.25783763780462543,1,1,2,2017-02-27,2017-02-28
0–5%,2.796791718481184,43,22,65,2017-03-01,2017-04-13
0–5%,0.10252486299153762,1,1,2,2017-05-08,2017-05-09
0–5%,0.3638052906108191,2,3,5,2017-05-10,2017-05-12
0–5%,1.8852624868354928,2,7,9,2017-05-15,2017-05-17
0–5%,0.16640392982495422,5,1,6,2017-05-26,2017-05-31
0–5%,0.3993321209064926,4,7,11,2017-06-02,2017-06-06
0–5%,0.32331986817497604,2,4,6,2017-06-13,2017-06-15
0–5%,1.781564061913521,17,8,25,2017-06-19,2017-07-06
0–5%,0.005291283677333336,3,1,4,2017-07-14,2017-07-17
0–5%,0.1584654520247475,5,1,6,2017-07-19,2017-07-24
0–5%,0.3038961131093032,5,7,12,2017-07-26,2017-07-31
0–5%,2.2314338384895493,11,24,35,2017-08-07,2017-08-18
0–5%,0.11007176162897148,1,1,2,2017-09-13,2017-09-14
0–5%,0.4616814248272094,5,3,8,2017-09-20,2017-09-25
0–5%,0.2876131020706496,4,2,6,2017-10-05,2017-10-09
0–5%,0.16867529508860502,1,4,5,2017-10-11,2017-10-12
0–5%,0.7013043156751109,5,2,7,2017-10-20,2017-10-25
0–5%,0.3192470570786421,3,4,7,2017-10-27,2017-10-30
0–5%,0.018910292286977715,1,1,2,2017-11-06,2017-11-07
0–5%,1.147085892168509,7,6,13,2017-11-08,2017-11-15
0–5%,0.07502611166068096,1,2,3,2017-11-21,2017-11-22
0–5%,0.03842577408796899,3,1,4,2017-11-24,2017-11-27
0–5%,0.0369225702197995,1,1,2,2017-11-28,2017-11-29
0–5%,0.6915771403868898,6,2,8,2017-11-30,2017-12-06
0–5%,0.4541890976105134,2,1,3,2017-12-12,2017-12-14
0–5%,0.6151978034095062,11,4,15,2017-12-18,2017-12-29
0–5%,0.11122268282528491,1,1,2,2018-01-09,2018-01-10
0–5%,0.3524487622672101,4,1,5,2018-01-12,2018-01-16
0–5%,0.16163897301626484,1,1,2,2018-01-17,2018-01-18
0–5%,0.05599757022828333,1,1,2,2018-01-23,2018-01-24
10–15%,10.159530548956274,13,197,210,2018-01-26,2018-02-08
0–5%,1.4536556414476376,9,13,22,2018-08-29,2018-09-07
15–20%,19.778210435682,95,120,215,2018-09-20,2018-12-24
0–5%,0.25599281246148076,2,1,3,2019-04-23,2019-04-25
5–10%,6.83610804467385,34,17,51,2019-04-30,2019-06-03
0–5%,1.3675504972140873,6,5,11,2019-06-20,2019-06-26
0–5%,0.6632613686435973,5,3,8,2019-07-03,2019-07-08
0–5%,1.2503712568661784,4,5,9,2019-07-15,2019-07-19
0–5%,0.5262401280453521,1,1,2,2019-07-24,2019-07-25
5–10%,6.122556998296669,19,75,94,2019-07-26,2019-08-14
0–5%,0.08324053147991117,1,1,2,2019-10-28,2019-10-29
0–5%,0.3022860563304697,1,1,2,2019-10-30,2019-10-31
0–5%,0.1185699214361291,1,2,3,2019-11-04,2019-11-05
0–5%,0.19624672514313435,3,2,5,2019-11-08,2019-11-11
0–5%,0.5922425492665528,3,4,7,2019-11-18,2019-11-21
0–5%,1.9162024044093506,6,9,15,2019-11-27,2019-12-03
0–5%,0.043230017186479675,1,1,2,2019-12-17,2019-12-18
0–5%,0.019544819997963092,1,2,3,2019-12-23,2019-12-24
0–5%,0.5780822450430323,3,3,6,2019-12-27,2019-12-30
0–5%,0.7059870562045378,1,6,7,2020-01-02,2020-01-03
0–5%,0.2855178689662563,1,3,4,2020-01-09,2020-01-10
0–5%,0.1514532772802224,1,1,2,2020-01-13,2020-01-14
0–5%,3.1264857248694877,14,5,19,2020-01-17,2020-01-31
0–5%,0.5400853672730133,1,3,4,2020-02-06,2020-02-07
0–5%,0.16304457368023773,1,1,2,2020-02-12,2020-02-13
0–5%,0.2919942636890105,4,1,5,2020-02-14,2020-02-18
30–·%,33.92496000265327,33,148,181,2020-02-19,2020-03-23
0–5%,0.44043954214108005,1,2,3,2020-08-18,2020-08-19
0–5%,0.21949627140287475,3,1,4,2020-08-28,2020-08-31
5–10%,9.604454752912995,21,51,72,2020-09-02,2020-09-23
0–5%,1.9126439511294668,4,4,8,2020-11-16,2020-11-20
0–5%,0.1584418237524976,1,2,3,2020-11-24,2020-11-25
0–5%,0.45955486401709766,3,1,4,2020-11-27,2020-11-30
0–5%,0.062415721309150296,1,1,2,2020-12-02,2020-12-03
0–5%,0.19356376714373402,3,1,4,2020-12-04,2020-12-07
0–5%,1.479100810740086,6,3,9,2020-12-08,2020-12-14
0–5%,0.9461426491994218,5,6,11,2020-12-17,2020-12-22
0–5%,0.222738052560012,1,2,3,2020-12-28,2020-12-29
0–5%,1.4754827521051062,4,3,7,2020-12-31,2021-01-04
0–5%,1.4754157903199783,7,5,12,2021-01-08,2021-01-15
0–5%,0.30106116552376383,1,3,4,2021-01-21,2021-01-22
0–5%,3.660361503347831,4,6,10,2021-01-25,2021-01-29
0–5%,0.1458325552458728,2,1,3,2021-02-08,2021-02-10
0–5%,4.2278854262786325,20,7,27,2021-02-12,2021-03-04
0–5%,0.15696837343783798,1,1,2,2021-03-15,2021-03-16
0–5%,2.1383406163756224,7,2,9,2021-03-17,2021-03-24
0–5%,0.40231045799570264,4,2,6,2021-03-26,2021-03-30
0–5%,0.09735307519511682,1,1,2,2021-04-05,2021-04-06
0–5%,0.019607884876882142,3,1,4,2021-04-09,2021-04-12
0–5%,0.40877267278285334,1,1,2,2021-04-13,2021-04-14
0–5%,1.207278294761116,4,6,10,2021-04-16,2021-04-20
0–5%,0.10602541018529532,2,1,3,2021-04-26,2021-04-28
0–5%,1.111489722253367,5,3,8,2021-04-29,2021-05-04
0–5%,4.00604958374503,5,29,34,2021-05-07,2021-05-12
0–5%,2.084526022982036,4,6,10,2021-06-14,2021-06-18
0–5%,0.20218560598241897,4,1,5,2021-07-02,2021-07-06
0–5%,0.8561024934316985,1,1,2,2021-07-07,2021-07-08
0–5%,2.8768596622478992,7,4,11,2021-07-12,2021-07-19
0–5%,0.7946012253681412,7,1,8,2021-07-26,2021-08-02
0–5%,0.4632387901412294,1,1,2,2021-08-03,2021-08-04
0–5%,0.09399082741974318,3,1,4,2021-08-06,2021-08-09
0–5%,1.7733277845877526,2,6,8,2021-08-16,2021-08-18
0–5%,0.5824918819612557,1,1,2,2021-08-25,2021-08-26
0–5%,0.13491160395050494,1,2,3,2021-08-30,2021-08-31
5–10%,5.21253759010486,32,17,49,2021-09-02,2021-10-04
0–5%,0.10725536274130976,1,3,4,2021-10-21,2021-10-22
0–5%,0.5051568068462853,1,1,2,2021-10-26,2021-10-27
0–5%,1.1695818978382344,2,8,10,2021-11-08,2021-11-10
0–5%,4.070536086630083,13,9,22,2021-11-18,2021-12-01
0–5%,3.0560141808210095,10,3,13,2021-12-10,2021-12-20
0–5%,0.10101548486260992,1,1,2,2021-12-27,2021-12-28
0–5%,0.5608083872077785,2,3,5,2021-12-29,2021-12-31
20–30%,25.42509661923039,282,464,746,2022-01-03,2022-10-12
0–5%,0.06517852510764532,1,3,4,2024-01-25,2024-01-26
0–5%,1.6696720631691142,2,2,4,2024-01-29,2024-01-31
0–5%,0.31863375266721894,3,2,5,2024-02-02,2024-02-05
0–5%,1.4610233020612817,4,2,6,2024-02-09,2024-02-13
0–5%,1.0779945455182682,5,2,7,2024-02-15,2024-02-20
0–5%,0.3786751350190576,3,3,6,2024-02-23,2024-02-26
0–5%,1.137419991369426,4,2,6,2024-03-01,2024-03-05
0–5%,0.764343053810479,4,1,5,2024-03-07,2024-03-11
0–5%,1.1241959465241536,3,4,7,2024-03-12,2024-03-15
0–5%,0.7240196772080099,5,1,6,2024-03-21,2024-03-26
5–10%,5.464426843494352,22,26,48,2024-03-28,2024-04-19
0–5%,0.20816677921287052,1,5,6,2024-05-15,2024-05-16
0–5%,1.6148008377126266,9,6,15,2024-05-21,2024-05-30
0–5%,0.1314813526209102,2,3,5,2024-06-05,2024-06-07
0–5%,0.0393860697500914,1,3,4,2024-06-13,2024-06-14
0–5%,0.7136769710032631,6,8,14,2024-06-18,2024-06-24
0–5%,0.8763028841120457,1,5,6,2024-07-10,2024-07-11
5–10%,8.485144350207374,20,45,65,2024-07-16,2024-08-05
0–5%,0.19410273951238066,1,3,4,2024-09-19,2024-09-20
0–5%,0.18612489301417234,1,1,2,2024-09-24,2024-09-25
0–5%,0.12532169669905446,1,3,4,2024-09-26,2024-09-27
0–5%,1.1547118478160368,7,2,9,2024-09-30,2024-10-07
0–5%,0.2070122839989974,1,1,2,2024-10-09,2024-10-10
0–5%,0.7609466332438197,1,3,4,2024-10-14,2024-10-15
0–5%,2.7148966384044293,13,6,19,2024-10-18,2024-10-31
0–5%,2.178342845217529,4,11,15,2024-11-11,2024-11-15
0–5%,0.3801238017440034,1,2,3,2024-11-26,2024-11-27
0–5%,0.18697756269248078,1,1,2,2024-12-04,2024-12-05
0–5%,4.322139734766806,35,13,48,2024-12-06,2025-01-10
0–5%,2.0288612715960386,11,15,26,2025-01-23,2025-02-03
15–20%,18.902206184284008,48,80,128,2025-02-19,2025-04-08
0–5%,0.1118531087121899,1,1,2,2025-06-30,2025-07-01
0–5%,0.8572555644746127,5,2,7,2025-07-03,2025-07-08
0–5%,0.5843552150760267,5,2,7,2025-07-10,2025-07-15
0–5%,0.009048620868445933,1,3,4,2025-07-17,2025-07-18
0–5%,2.3750503295482117,4,11,15,2025-07-28,2025-08-01
0–5%,1.5207468237571131,7,6,13,2025-08-14,2025-08-21
0–5%,1.327617420766547,5,2,7,2025-08-28,2025-09-02
0–5%,0.3165152978388819,1,4,5,2025-09-04,2025-09-05
0–5%,0.048276131466740146,1,3,4,2025-09-11,2025-09-12
0–5%,0.22568489897434318,2,1,3,2025-09-15,2025-09-17
0–5%,1.330043475723619,3,6,9,2025-09-22,2025-09-25
0–5%,0.38114057910215715,1,1,2,2025-10-06,2025-10-07
0–5%,2.979253549421801,2,14,16,2025-10-08,2025-10-10
5–10%,5.1100854041684745,23,21,44,2025-10-28,2025-11-20
0–5%,2.6020841069229084,6,6,12,2025-12-11,2025-12-17
0–5%,1.2485456268501505,7,6,13,2025-12-24,2025-12-31
0–5%,0.3439923431013958,1,2,3,2026-01-06,2026-01-07
0–5%,2.5856840246254453,8,7,15,2026-01-12,2026-01-20
5–10%,9.097524918009315,62,16,78,2026-01-27,2026-03-30
0–5%,0.8707517542448917,4,1,5,2026-04-17,2026-04-21
0–5%,0.4132868267081369,1,1,2,2026-04-22,2026-04-23
0–5%,0.5291390623902492,2,1,3,2026-04-27,2026-04-29
0–5%,0.4062189384334225,3,1,4,2026-05-01,2026-05-04
0–5%,0.3803095327784889,1,1,2,2026-05-06,2026-05-07
0–5%,0.16026088601545085,1,1,2,2026-05-11,2026-05-12
0–5%,1.9680794972706361,5,7,12,2026-05-14,2026-05-19
0–5%,4.5045922544289745,8,55,63,2026-06-02,2026-06-10
0–5%,0.3433075662791274,2,1,3,2026-08-04,2026-08-06
0–5%,0.37949609529970285,4,2,6,2026-08-07,2026-08-11
